       content                       [명] 내용, 목차[형] 만족하는
      obstacle                        [명] 장애물, 방해가 되는 것
     editorial                       [형] 편집자의[명] 사설, 논설
       abolish                                 [동] 폐지하다
        assure                        [동] 확실하게 하다, 보증하다
          form                       [명] 형태, 종류[동] 형성하다
        gender                                [명] 성, 성별
    innovation                                   [명] 혁신
      opponent                      [명] 상대, 반대자[형] 반대하는
       present           [형] 현재의[명] 현재, 선물[동] 제출하다 나타내다
       fertile                             [형] 비옥한, 기름진
       emperor                                   [명] 황제
         dwell                             [동] 거주하다, 살다
         chore                            [명] 허드렛일, 집안일
     rehearsal                            [명] 리허설, 예행연습
        fossil                                   [명] 화석
       glitter                            동사 반짝이다명사 반짝임
         carve                            [동] 새기다, 조각하다
         decay                 [동] 부패하다, 쇠퇴하다[명] 부패, 쇠퇴
       protein                                  [명] 단백질
      backward                         [부] 뒤쪽으로 후방에 거꾸로
     translate                            [동] 번역하다, 옮기다
       refresh                      [동] 상쾌하게 하다, 새롭게 하다
        tissue                              [명] (생물) 조직
          lord                                   [명] 군주
    substitute                     [동] 대체하다[명] 대리자, 대체물
          scan                    [동] 정밀 검사하다, 유심히 쳐다보다
       pottery                              [명] 도자기, 도예
         layer                                 [명] 층, 겹
      property                        [명] 재산, 소유물 , 부동산
       justify                                [동] 정당화하다
        polish                [동] 닦다, 윤을 내다, (문장 등을)다듬다
        flavor                            [명] 맛동사 맛을 내다
       imprint                 [동] 찍다 감명시키다명사 찍은 자국, 인상
      heritage                            [명] 유산, 세습 재산
        strive                     [동] 노력하다, 애쓰다 , 투쟁하다
       radiant                           [형] 빛나는, 아주 밝은
       exclaim                            [동] (감탄하며)외치다
         asset                               [명] 자산, 재산
       portray                  [동] 묘사하다, 설명하다, 초상을 그리다
    administer                    [동] 관리•운영하다, 집행하다, 주다
          wage                                   [명] 급료
     subscribe                              [동] 정기 구독하다
  architecture                           [명] 건축학, 건축 양식
     territory                               [명] 영토, 영역
      strategy                               [명] 전략, 계획
         hence                             [부] 그러므로, 향후
         panic                          [형] 당황한 [명] 공황
    wilderness                                  [명] 황무지
       attract                             [동] 끌다, 매혹하다
      category                               [명] 부류, 종류
        murder                          [동] 죽이다 [명] 살인
       funeral                         [명] 장례식 [형] 장례의
   humiliation                             [명] 창피 줌, 굴욕
           ban                         [동] 금지하다 [명] 금지
